name,ingredients,cuisine,time
Pennette al Salmone,pasta salmon cream dill garlic,Italian,20
Gongura Mutton,lamb sorrel onion tomato garlic,Indian,50
Braised Chicken Feet,chicken-feet soy bean-paste sugar garlic,Chinese,50
Tamale de Carne,beef tomato chili onion corn-dough,Mexican,75
Yam Tua Ploo,wing-bean shrimp coconut lime chili,Thai,15
Risotto ai Funghi Porcini,rice porcini onion wine parmesan cream,Italian,40
Dum Aloo,potato yogurt onion tomato spice,Indian,35
Sichuan Beef,beef chili garlic soy cumin celery,Chinese,25
Birria de Borrego,lamb chili onion garlic tomato spice,Mexican,90
Laab Gai,chicken lime chili mint onion rice,Thai,20
Pasta alla Carrettiera,pasta tuna tomato olive caper anchovy,Italian,20
Appam Stew,rice-batter coconut vegetable onion spice,Indian,30
Stir Fried Clam,clam black-bean garlic chili scallion,Chinese,15
Camarones en Mole Verde,shrimp tomatillo cilantro onion pepita,Mexican,30
Tom Yum Goong,shrimp lemongrass lime chili kaffir mushroom,Thai,20
Penne al Pesto Rosso,pasta sun-dried-tomato basil pine-nut garlic,Italian,20
Chicken Ghee Roast,chicken ghee garlic ginger tomato spice,Indian,40
Spicy Beef Tendon,tendon chili bean-paste soy garlic,Chinese,90
Sopa de Lentejas,lentil onion tomato carrot cilantro,Mexican,35
Yam Makeua Yao,eggplant pork shrimp lime onion chili,Thai,20
Pasta al Prosciutto,pasta ham cream pea butter parmesan,Italian,20
Avial,vegetable coconut yogurt turmeric curry,Indian,30
Red Bean Paste Bun,flour red-bean sugar oil yeast,Chinese,40
Huevos con Chorizo,egg chorizo onion pepper tomato,Mexican,15
Gaeng Mussaman,lamb peanut coconut potato onion,Thai,45
Bucatini all'Amatriciana,pasta guanciale tomato pecorino wine,Italian,30
Lemon Coriander Soup,lemon broth coriander pepper garlic,Indian,20
Taro Braised Pork,pork taro soy sugar garlic scallion,Chinese,50
Camarones al Mango,shrimp mango lime chili butter,Mexican,20
Larb Talay,seafood lime chili mint onion fish-sauce,Thai,20
Pasta al Granchio,pasta crab garlic wine tomato parsley,Italian,25
Pesarattu Dosa,moong-dal rice ginger chili,Indian,20
Seaweed Egg Soup,egg seaweed scallion ginger sesame,Chinese,15
Sopa de Elote,corn cream onion cheese chicken-broth,Mexican,20
Khanom Khrok,coconut rice-flour egg sugar scallion,Thai,25
Bigoli con l'Anatra,pasta duck onion wine rosemary,Italian,40
Rava Ladoo,semolina sugar ghee coconut cashew,Indian,20
Silken Tofu Cold,tofu scallion soy sesame chili oil,Chinese,10
Pozole de Mariscos,seafood hominy chili lime onion tomato,Mexican,50
Khao Pad Kung,rice shrimp egg soy onion tomato,Thai,15
Insalata Caprese,tomato mozzarella basil olive-oil salt,Italian,10
Karimeen Pollichathu,fish coconut banana-leaf onion spice,Indian,35
Pork and Preserved Egg Congee,rice pork preserved-egg scallion ginger,Chinese,30
Tacos de Barbacoa,beef lime onion cilantro tortilla,Mexican,30
Gai Pad Mamuang,chicken cashew pepper onion soy garlic,Thai,20
Pasta con Tonno,pasta tuna tomato olive caper,Italian,20
Bisi Bele Bath,rice lentil vegetable ghee spice,Indian,40
Stir Fried Lotus Root,lotus-root pork garlic soy ginger,Chinese,20
Tacos de Canasta,bean potato sausage tortilla,Mexican,20
Yam Phak Kachet,water-mimosa shrimp lime chili coconut,Thai,15
Pasta al Cavolfiore,pasta cauliflower garlic anchovy bread-crumb,Italian,25
Egg Curry,egg onion tomato coconut garlic spice,Indian,25
Scrambled Egg Shrimp,shrimp egg scallion soy oil,Chinese,10
Empanadas,dough beef onion tomato egg olive,Mexican,40
Pla Rad Khing,fish ginger garlic soy mushroom scallion,Thai,20
Pasta ai Broccoli e Salsiccia,pasta broccoli sausage garlic onion,Italian,25
Prawn Koliwada,shrimp flour onion garlic ginger spice,Indian,25
Bitter Melon Stuffed,bitter-melon pork egg soy garlic black-bean,Chinese,30
Sopa de Verduras,carrot potato onion celery tomato broth,Mexican,30
Tom Saap Gae,lamb lemongrass galangal lime chili,Thai,40
Pasta Fredda,pasta olive tomato cucumber feta basil,Italian,15
Aam Panna,mango sugar cumin mint,Indian,15
Chinese Broccoli with Beef,broccoli beef oyster soy ginger garlic,Chinese,20
Tamale Oaxaqueño,corn-dough pork mole banana-leaf,Mexican,90
Pad Neua,beef basil garlic chili soy oyster,Thai,15
Pasta al Nero di Seppia,pasta squid-ink cream garlic wine,Italian,25
Ambur Biryani,rice chicken tomato onion spice,Indian,60
Stir Fried Pumpkin,pumpkin garlic soy scallion egg,Chinese,15
Carnitas de Res,beef orange lime garlic cumin bay,Mexican,90
Gaeng Hung Lay,pork ginger peanut curry tamarind,Thai,45
Pasta con le Cozze,pasta mussel garlic wine tomato parsley,Italian,25
Doi Ilish,hilsa yogurt mustard onion turmeric,Indian,30
Stir Fried String Bean,string-bean pork garlic soy chili,Chinese,15
Sopa de Pimiento,pepper onion cream garlic tomato,Mexican,25
Khanom Chin Sao Nam,noodle pineapple coconut shrimp ginger,Thai,25
Spaghetti alle Vongole,pasta clam garlic wine parsley,Italian,20
Chicken Cafreal,chicken coriander pepper garlic lime coconut,Indian,40
Winter Solstice Dumplings,pork ginger scallion wrapper cabbage soy,Chinese,40
Enchiladas de Mole,tortilla turkey mole cheese cream,Mexican,45
Yam Som O Koong,pomelo shrimp coconut lime peanut,Thai,20
Pasta con Ricotta,pasta ricotta tomato basil garlic,Italian,20
Alleppey Fish Curry,fish coconut tomato onion mustard,Indian,35
Red Braised Tofu,tofu soy sugar garlic scallion ginger,Chinese,25
Birria de Pollo,chicken chili onion tomato garlic,Mexican,60
Gaeng Phet Gai,chicken coconut chili kaffir basil,Thai,30
Pasta ai Gamberi e Zucchine,pasta shrimp zucchini garlic lemon,Italian,25
Gobi Paratha,wheat cauliflower onion cumin coriander,Indian,30
Stir Fried Broccoli,broccoli garlic oyster soy carrot,Chinese,15
Chicharrón en Salsa Verde,pork-skin tomatillo cilantro onion garlic,Mexican,20
Khao Pad Kai,rice egg onion soy tomato scallion,Thai,15
Pasta all'Uovo,pasta egg yolk butter parmesan,Italian,20
Masala Chai Cake,flour egg milk cardamom cinnamon ginger,Indian,45
Braised Mushroom Tofu,mushroom tofu oyster soy garlic ginger,Chinese,25
Tacos de Suadero,beef tortilla onion cilantro lime,Mexican,30
Laab Moo,pork lime mint chili onion rice-flour,Thai,20
Pasta con Funghi Trifolati,pasta mushroom garlic parsley olive-oil,Italian,20
Pudina Paratha,wheat mint onion garlic butter,Indian,25
Steamed Bun Pork,pork soy ginger scallion bun sugar,Chinese,40
Tacos Dorados,tortilla potato cheese cream onion,Mexican,25
Yam Khuay,banana shrimp coconut lime chili,Thai,15
Pasta al Cinghiale,pasta boar tomato wine garlic rosemary,Italian,60
Misal Pav,sprout onion tomato chili pav,Indian,30
Braised Duck Feet,duck-feet soy star-anise ginger sugar,Chinese,50
Birria Tacos,beef tortilla onion cilantro lime cheese,Mexican,40
Pla Thod Pad Prik,fish chili garlic oyster soy,Thai,20
Spaghetti al Pesto,pasta basil pine-nut parmesan garlic,Italian,15
Thakkali Rasam,tomato tamarind pepper garlic mustard,Indian,20
Corn Soup,corn egg broth scallion starch,Chinese,20
Menudo Blanco,tripe hominy onion garlic oregano,Mexican,90
Gaeng Keow Wan Goong,shrimp coconut eggplant basil kaffir,Thai,25
Rigatoni alla Carbonara,pasta egg guanciale cheese pepper,Italian,25
Fish Tikka,fish yogurt garlic ginger turmeric chili,Indian,30
Pea Shoots Garlic,pea-shoot garlic oil salt,Chinese,10
Sopa de Frijoles Negros,black-bean onion garlic cumin cream,Mexican,35
Tom Yum Hed,mushroom lemongrass lime chili galangal,Thai,20
Pasta alla Crudaiola,pasta tomato basil garlic olive-oil mozzarella,Italian,15
Murgh Saag,chicken spinach onion tomato cream,Indian,40
Golden Needle Mushroom,enoki mushroom scallion soy garlic chili,Chinese,15
Tacos de Pollo en Salsa Verde,chicken tomatillo onion garlic tortilla,Mexican,30
Yam Hed Khon,mushroom lime chili shallot fish-sauce,Thai,15
Risotto ai Gamberi,rice shrimp onion wine butter cream,Italian,35
Parsi Dhansak,lentil mutton pumpkin tomato onion,Indian,60
Braised Beef Brisket,brisket soy turnip garlic star-anise,Chinese,90
Tamale de Rajas y Queso,pepper cheese corn-dough onion cream,Mexican,60
Gaeng Keow Wan Ped,duck eggplant coconut basil chili,Thai,35
Pasta al Limone,pasta lemon cream butter parmesan,Italian,15
Egg Dum,egg onion tomato yogurt ghee spice,Indian,30
Cantonese Steam Chicken,chicken ginger scallion soy sesame,Chinese,30
Sopa de Fideos Secos,noodle tomato onion garlic chili,Mexican,20
Pla Kapong Nueng Manao,fish lime garlic chili broth scallion,Thai,25
Pasta con Zucchine,pasta zucchini garlic cream lemon,Italian,20
Bebinca,coconut egg sugar flour ghee,Indian,50
Nuo Mi Fan,glutinous-rice chicken sausage mushroom soy,Chinese,40
Tacos de Carne Asada,beef tortilla onion cilantro lime,Mexican,20
Yam Woon Sen Talay,noodle seafood lime chili onion,Thai,20
Pasta ai Cipollotti,pasta spring-onion anchovy garlic olive-oil,Italian,20
Kashmiri Rogan Josh,lamb tomato onion yogurt saffron spice,Indian,60
Lotus Leaf Wrapped Rice,rice chicken mushroom sausage lotus-leaf,Chinese,50
Elotes Asados,corn mayo lime chili cheese butter,Mexican,15
Khao Tom Moo,rice pork ginger fish-sauce scallion,Thai,20
Pasta con Bottarga,pasta bottarga garlic olive-oil parsley,Italian,15
Chicken Mulligatawny,chicken lentil onion tomato curry,Indian,35
Pineapple Fried Rice,rice pineapple shrimp egg curry cashew,Chinese,20
Mole Coloradito,pork tomato chili raisin sesame onion,Mexican,90
Khanom Pang Sangkaya,bread coconut egg sugar,Thai,20
Pasta ai Peperoni,pasta pepper onion sausage tomato,Italian,25
Fish Molee,fish coconut milk onion tomato pepper,Indian,30
Turnip Radish Soup,radish pork ginger scallion salt,Chinese,30
Pollo en Salsa Roja,chicken tomato onion garlic chili,Mexican,35
Gaeng Ped Pla,fish coconut chili kaffir basil,Thai,25
Pasta col Cavolfiore,pasta cauliflower anchovy garlic saffron,Italian,25
Prawn Curry Kerala,shrimp coconut onion tomato mustard,Indian,30
Preserved Egg Cucumber,cucumber preserved-egg garlic sesame vinegar,Chinese,15
Tacos de Lengua,beef-tongue tortilla onion cilantro lime,Mexican,40
Pla Tod Kamin,fish turmeric garlic salt lime,Thai,20
Pasta ai Fagiolini,pasta green-bean tomato garlic basil,Italian,20
Malabar Prawn Curry,shrimp coconut onion tomato tamarind,Indian,30
Turnip Cake Stir Fry,turnip-cake egg soy scallion chili,Chinese,15
Pozole de Pollo,chicken hominy onion chili lime garlic,Mexican,60
Khao Pad Moo,rice pork egg soy onion scallion,Thai,15
Pasta al Forno di Magro,pasta sardine tomato fennel bread-crumb,Italian,35
Gunpowder Dosa,rice-batter sesame peanut chili garlic,Indian,25
Steamed Glutinous Rice,glutinous-rice pork mushroom sausage soy,Chinese,40
Camarones en Caldo,shrimp tomato onion garlic cilantro,Mexican,25
Yam Ma Kheua,eggplant pork shrimp lime chili,Thai,20
Pasta al Pomodoro Crudo,pasta tomato basil garlic olive-oil,Italian,15
Thatte Idli,rice lentil onion ginger mustard,Indian,20
Stir Fried Beef Pepper,beef pepper onion soy garlic oyster,Chinese,20
Sopa de Pasta,pasta tomato onion garlic chicken-broth,Mexican,20
Gaeng Om,chicken herb shallot fish-sauce rice,Thai,30
Risotto al Pomodoro,rice tomato onion basil parmesan butter,Italian,35
Crab Masala Kerala,crab coconut onion tomato pepper,Indian,40
Pork Intestine Soup,pork-intestine ginger scallion soy salt,Chinese,40
Camarones Enchilados,shrimp chili garlic tomato onion,Mexican,20
Yam Nuea Tok,beef mint lime chili shallot,Thai,20
Pasta alle Acciughe,pasta anchovy garlic olive-oil caper,Italian,15
Naatu Kozhi Kuzhambu,chicken onion tomato coconut spice,Indian,45
Crispy Noodle Beef,noodle beef oyster garlic ginger onion,Chinese,25
Tacos de Tripa,tripe tortilla onion cilantro lime,Mexican,35
Khanom Jeen Nam Prik,noodle fish-sauce chili coconut vegetable,Thai,25
Pasta ai Frutti di Mare,pasta seafood garlic wine tomato parsley,Italian,30
Chettinad Prawn,shrimp coconut onion tomato spice,Indian,35
Braised Sea Cucumber,sea-cucumber pork soy ginger scallion,Chinese,60
Pozole Verde de Pollo,chicken tomatillo hominy cilantro onion,Mexican,60
Yam Nuea,beef tomato cucumber onion lime chili,Thai,20
Pasta al Tonno Piccante,pasta tuna chili garlic tomato caper,Italian,20
Aloo Matar,potato pea onion tomato cumin,Indian,25
Stir Fried Kai Lan,kai-lan garlic oyster soy ginger,Chinese,10
Sopa de Pollo,chicken carrot onion celery cilantro rice,Mexican,35
Khao Pad Sapparod,rice pineapple shrimp cashew egg soy,Thai,20
Pasta Puttanesca al Baccalà,pasta salt-cod olive caper tomato chili,Italian,30
Kadhi,yogurt gram-flour onion mustard curry ginger,Indian,30
Stir Fried Chinese Spinach,spinach garlic soy oyster,Chinese,10
Chilpachole Verde,shrimp tomatillo cilantro garlic onion,Mexican,30
Tom Kha Hed,mushroom coconut lemongrass lime galangal,Thai,20
Pasta Primavera,pasta asparagus pea cherry-tomato garlic,Italian,20
Chettinad Chicken,chicken onion tomato coconut pepper,Indian,45
Char Siu Pork Belly,pork-belly honey soy garlic five-spice,Chinese,60
Camarones en Agua Chile,shrimp cucumber lime chili cilantro onion,Mexican,15
Gaeng Phet Gae,lamb coconut chili kaffir basil,Thai,35
Pasta ai Porcini,pasta porcini cream garlic parsley,Italian,25
Egg Hoppers,egg rice-batter coconut oil,Indian,20
Malt Sugar Crisp,flour malt-sugar sesame oil,Chinese,30
Tacos de Nopales,cactus tortilla onion cilantro lime cheese,Mexican,20
Yam Khao Pod,corn shrimp lime chili onion,Thai,15
Pasta con Rucola,pasta arugula tomato parmesan garlic,Italian,15
Bhapa Ilish,hilsa mustard coconut banana-leaf turmeric,Indian,30
Steamed Stuffed Bitter Melon,bitter-melon pork egg soy garlic,Chinese,30
Sopa de Tortilla Roja,tortilla tomato chili onion cream,Mexican,25
Tom Yum Kai,chicken lemongrass lime chili mushroom,Thai,20
Pasta al Pesto Trapanese,pasta almond tomato basil garlic,Italian,20
Malabari Parotta,wheat butter egg oil,Indian,30
Tofu Cabbage Soup,tofu cabbage ginger scallion broth salt,Chinese,20
Pozole Guerrerense,pork hominy chili radish lime onion,Mexican,90
Khao Kluk Kapi Moo,rice shrimp-paste pork mango onion lime,Thai,25
Pasta ai Calamaretti,pasta squid garlic wine chili parsley,Italian,25
Thengai Rice,rice coconut onion mustard curry-leaf,Indian,20
Celtuce Salad,celtuce sesame vinegar soy garlic chili,Chinese,10
Camarones en Tamarindo,shrimp tamarind chili garlic onion,Mexican,25
Gaeng Kua Sapparod,pineapple shrimp coconut chili kaffir,Thai,30
Pasta alla Vesuviana,pasta tomato olive caper garlic mozzarella,Italian,25
Karahi Gosht,lamb pepper onion tomato garlic ginger,Indian,45
Stir Fried Chinese Celery,celery pork garlic soy chili,Chinese,15
Sopa Azteca de Frijoles,bean tortilla chili onion cream cheese,Mexican,30
Yam Hed,mushroom lime chili onion mint,Thai,15
Pasta alle Noci,pasta walnut cream garlic parsley,Italian,15
Moong Dal Halwa,moong-dal sugar ghee cardamom,Indian,40
Stir Fried Clams with Black Bean,clam black-bean garlic chili scallion,Chinese,15
Tacos de Suadero y Longaniza,sausage beef tortilla onion cilantro,Mexican,30
Pla Meuk Pad Krapao,squid basil garlic chili soy oyster,Thai,15
Pasta Caprese Calda,pasta tomato mozzarella basil olive-oil,Italian,20
Chicken Chettinad Pepper,chicken pepper coconut onion tomato,Indian,45
Pork Lung Soup,pork-lung carrot radish ginger scallion,Chinese,50
Nopales en Salsa,cactus tomato onion chili garlic cilantro,Mexican,20
Pad Cha Talay,seafood galangal kaffir chili garlic basil,Thai,20
Pasta al Ragù Bianco,pasta pork cream wine onion celery,Italian,45
Mutton Chops Masala,lamb pepper onion garlic ginger tomato,Indian,45
Asparagus Stir Fry,asparagus garlic soy oyster ginger,Chinese,15
Caldo de Pollo con Verduras,chicken carrot zucchini onion potato cilantro,Mexican,40
Khao Man Gai,rice chicken garlic cucumber ginger soy,Thai,40
Pasta ai Piselli e Pancetta,pasta pea pancetta onion parmesan,Italian,20
Chicken Stew Koorma,chicken yogurt nut onion spice cream,Indian,45
Crispy Garlic Pork,pork garlic soy sugar five-spice,Chinese,30
Tacos Norteños,beef onion tomato pepper salsa tortilla,Mexican,25
Yam Takrai,lemongrass shrimp lime chili onion,Thai,15
Pasta con Olive e Capperi,pasta olive caper tomato garlic basil,Italian,20
Pesarattu Allam Pachadi,moong-dal ginger chili sesame,Indian,20
Stuffed Lotus Root,lotus-root glutinous-rice soy sugar,Chinese,45
Chorizo con Papas,sausage potato onion pepper tomato,Mexican,25
Pad Kai Khem,egg pork salt oil scallion,Thai,15
Spaghetti ai Ricci di Mare,pasta sea-urchin garlic olive-oil parsley,Italian,20
Allam Chutney,ginger coconut chili onion,Indian,10
Braised Spare Rib,pork-rib soy sugar garlic ginger star-anise,Chinese,60
Tostadas de Pollo,tortilla chicken lettuce tomato cream,Mexican,20
Gaeng Hang Lay,pork curry ginger peanut tamarind,Thai,45
Pasta al Pomodoro Arrosto,pasta roasted-tomato garlic basil olive-oil,Italian,30
Prawn Moilee,shrimp coconut onion turmeric pepper,Indian,25
Pork Stomach Soup,pork-stomach pepper garlic salt,Chinese,50
Sopa de Cebolla,onion broth cheese crouton cream,Mexican,30
Yam Sam Oh,pomelo shrimp peanut lime coconut,Thai,20
Pasta ai Ceci,pasta chickpea rosemary garlic tomato,Italian,30
Bheja Masala,brain onion tomato garlic ginger chili,Indian,30
Lotus Root Soup,lotus-root pork ginger scallion salt,Chinese,40
Tacos de Chilorio,pork chili onion cilantro tortilla,Mexican,30
Pla Meuk Pad Nam Prik Phao,squid pepper garlic soy oyster onion,Thai,15
Pasta con Polpette,pasta meatball tomato garlic onion basil,Italian,40
Goan Fish Curry,fish coconut tomato onion tamarind,Indian,35
Stir Fried Shrimp Paste Vegetables,vegetable shrimp-paste garlic chili soy,Chinese,15
Tacos de Milanesa,breaded-beef tortilla onion lettuce tomato,Mexican,25
Khao Pad Moo Krob,rice crispy-pork egg soy onion,Thai,20
Pasta al Forno Vegetariana,pasta tomato zucchini eggplant mozzarella,Italian,45
Kokum Curry,kokum coconut onion garlic ginger,Indian,25
Braised Chicken Wings,wings soy sugar garlic ginger scallion,Chinese,35
Birria Quesatacos,beef tortilla cheese onion cilantro lime,Mexican,40
Gaeng Fak Thong,pumpkin pork coconut chili garlic,Thai,25
Pasta alle Sarde Fresche,pasta sardine tomato raisin pine-nut,Italian,30
Jeera Aloo,potato cumin onion garlic coriander,Indian,20
Corn Pork Rib Soup,pork-rib corn carrot ginger scallion,Chinese,50
Sopa de Mora,berry onion cream lemon garlic,Mexican,25
Pad Cha Gai,chicken galangal kaffir garlic chili,Thai,20
Pasta ai Broccoletti,pasta broccoli-rabe garlic chili sausage,Italian,25
Kerala Prawn,shrimp coconut curry onion tomato,Indian,30
Pumpkin Soup,pumpkin ginger garlic onion cream,Chinese,25
Tamale Rojos de Puerco,pork chili tomato corn-dough,Mexican,75
Khao Niao Dam,black-sticky-rice coconut milk sugar,Thai,30
Pasta ai Pomodorini,pasta cherry-tomato basil garlic olive-oil,Italian,15
Thandai,milk almond fennel cardamom pepper sugar,Indian,15
Steamed Sea Bass,fish scallion ginger soy sesame,Chinese,20
Sopa de Nopalitos,cactus egg tomato onion cilantro,Mexican,20
Gaeng Kiaw Wan Talay,seafood coconut eggplant basil kaffir,Thai,30
Pasta alla Carnesecca,pasta bacon onion tomato wine,Italian,25
Chepala Pulusu,fish tomato onion tamarind garlic,Indian,35
Chicken Velvet Soup,chicken egg white broth starch scallion,Chinese,20
Chorizo Verde,sausage cilantro pepper tomatillo onion,Mexican,30
Khanom Kleeb Lamduan,flour coconut sugar egg cardamom,Thai,30
Pasta con Pesce Spada,pasta swordfish caper olive tomato garlic,Italian,25
Cholar Dal,split-pea coconut onion ginger garlic bay,Indian,35
Egg Tart,pastry egg milk sugar vanilla cream,Chinese,30
Mole de Olla,beef chili carrot potato corn epazote,Mexican,60
Yam Phak Kachet Talay,water-mimosa seafood lime chili coconut,Thai,20
Pasta ai Gamberi e Limone,pasta shrimp lemon garlic cream parsley,Italian,20
Mutton Biryani,rice lamb onion saffron yogurt spice,Indian,75
Steamed Pork Dumpling,pork cabbage ginger scallion wrapper soy,Chinese,30
Tamale de Dulce,corn-dough raisin coconut sugar butter,Mexican,45
Khao Dom Mud,banana glutinous-rice coconut sugar,Thai,25
Pasta al Salmone Affumicato,pasta smoked-salmon cream dill lemon,Italian,20
Palak Gosht,spinach lamb onion tomato garlic ginger,Indian,50
Pork Chitterlings,pork-intestine ginger garlic vinegar soy,Chinese,50
Nopales con Huevo,cactus egg onion tomato chili,Mexican,15
Gaeng Phet Moo Krob,crispy-pork coconut chili kaffir basil,Thai,25
Pasta al Formaggio,pasta cheese butter cream pepper,Italian,15
Kheema Paratha,wheat beef onion spice coriander butter,Indian,30
Stir Fried Radish Cake,radish-cake egg soy scallion chili,Chinese,15
Tamale de Pollo en Salsa Verde,chicken tomatillo corn-dough cilantro,Mexican,75
Yam Tamarind,tamarind shrimp peanut onion chili,Thai,15
Pasta Fredda al Pesto,pasta basil pine-nut tomato olive,Italian,15
Konkani Fish Curry,fish coconut tomato onion mustard,Indian,30
Braised Oxtail,oxtail soy star-anise ginger scallion,Chinese,90
Sopa de Tortilla Blanca,tortilla chicken cream onion garlic,Mexican,25
Tom Jead Woon Sen,noodle pork mushroom broth scallion,Thai,20
Pasta con Fave,pasta fava-bean pancetta garlic onion,Italian,25
Avocado Egg Toast,avocado egg bread lemon salt,American,10
Blueberry Pancakes,flour egg milk butter blueberry maple,American,20
BBQ Pulled Pork,pork bbq-sauce onion garlic vinegar,American,90
Clam Chowder,clam potato cream onion celery butter,American,35
Buffalo Wings,chicken hot-sauce butter garlic vinegar,American,30
Mac and Cheese,pasta cheese milk butter flour,American,25
Meatloaf,beef egg onion breadcrumb ketchup,American,75
Coleslaw,cabbage carrot mayo vinegar sugar,American,10
Cornbread,cornmeal flour egg milk butter,American,25
Chicken Pot Pie,chicken carrot pea onion cream pastry,American,45
Banana Bread,banana flour egg butter sugar vanilla,American,55
Biscuits and Gravy,flour butter milk sausage pepper onion,American,25
Key Lime Pie,lime cream egg condensed-milk pastry,American,30
Grilled Cheese,bread cheese butter,American,10
Tuna Casserole,tuna pasta cream mushroom pea cheese,American,45
Philly Cheesesteak,beef cheese onion pepper roll,American,25
New England Lobster Roll,lobster mayo celery lemon roll,American,20
Deviled Eggs,egg mayo mustard paprika vinegar,American,15
Apple Pie,apple flour butter sugar cinnamon egg,American,75
Pumpkin Soup Cream,pumpkin cream onion garlic nutmeg,American,30
Chicken Noodle Soup,chicken noodle carrot onion celery,American,35
Blueberry Muffin,flour egg butter blueberry sugar milk,American,30
Eggs Benedict,egg ham muffin hollandaise lemon,American,25
Corn Dog,sausage cornmeal egg milk oil,American,20
Chili Con Carne,beef bean tomato chili onion garlic,American,45
Fried Chicken,chicken flour egg milk garlic pepper,American,35
Caesar Wrap,chicken lettuce parmesan wrap lemon mayo,American,15
Lobster Bisque,lobster cream onion celery butter wine,American,40
Smoked Brisket,beef salt pepper garlic smoke,American,120
Shakshuka American Style,egg tomato pepper onion feta bread,American,20
Waffle Chicken,chicken waffle maple-syrup butter egg,American,30
Texas BBQ Ribs,pork-rib bbq-sauce garlic onion brown-sugar,American,90
New York Cheesecake,cream-cheese egg sugar vanilla graham-cracker,American,60
Lobster Mac Cheese,lobster pasta cheese cream butter,American,40
Banana Foster,banana butter brown-sugar rum cinnamon ice-cream,American,15
Creamed Corn,corn cream butter onion sugar pepper,American,20
Sweet Potato Casserole,sweet-potato egg butter sugar marshmallow,American,45
Chocolate Lava Cake,chocolate butter egg flour sugar cream,American,20
Reuben Sandwich,rye-bread corned-beef sauerkraut swiss-cheese dressing,American,15
Loaded Baked Potato,potato cheese sour-cream bacon chive,American,60
Peach Cobbler,peach flour butter sugar cream,American,45
Green Bean Casserole,green-bean cream mushroom onion,American,35
Shrimp Boil,shrimp corn potato sausage crab-boil lemon,American,30
Jambalaya,rice shrimp sausage chicken tomato celery,American,45
Gumbo,shrimp sausage okra onion celery roux,American,60
Pot Roast,beef potato carrot onion garlic wine,American,90
Chicken Marsala,chicken mushroom marsala butter flour,American,30
Sloppy Joe,beef tomato onion pepper brown-sugar bun,American,25
Corn Chowder,corn potato cream onion celery bacon,American,35
Chicken Enchiladas American,chicken tortilla cream-cheese salsa cheese,American,35
Stuffed Bell Pepper,pepper beef rice tomato onion cheese,American,50
Beef Stroganoff,beef mushroom cream onion sour-cream noodle,American,30
Baked Ziti,pasta tomato sausage cheese ricotta basil,American,45
Spaghetti American,pasta beef tomato onion garlic,American,30
BLT Sandwich,bacon lettuce tomato bread mayo,American,10
Waldorf Salad,apple celery walnut mayo lettuce grape,American,10
Chicken Piccata,chicken lemon caper butter wine parsley,American,25
Corn Pudding,corn egg milk butter sugar flour,American,45
Fried Green Tomato,tomato cornmeal egg flour butter salt,American,20
Peanut Butter Cookie,flour peanut-butter butter egg sugar vanilla,American,25
Banana Split,banana ice-cream chocolate strawberry whipped-cream,American,10
Clams Casino,clam bacon pepper cheese butter garlic,American,25
Honey Glazed Ham,ham honey brown-sugar mustard clove,American,90
New England Pot Roast,beef potato carrot turnip onion broth,American,90
Monte Cristo Sandwich,bread ham turkey egg swiss-cheese oil,American,15
Pigs in Blanket,sausage pastry egg mustard,American,25
Chicken Tetrazzini,chicken pasta mushroom cream cheese butter,American,45
Hoppin John,black-eyed-pea rice bacon onion celery,American,40
Fried Catfish,catfish cornmeal egg garlic pepper oil,American,25
Lobster Thermidor,lobster cream butter mushroom mustard,American,35
Cranberry Sauce,cranberry orange sugar water cinnamon,American,20
Oyster Rockefeller,oyster spinach cream butter garlic cheese,American,25
Beef Chili,beef kidney-bean tomato chili cumin garlic,American,50
Pumpkin Pie,pumpkin egg cream cinnamon nutmeg pastry,American,60
S'mores Brownie,chocolate graham-cracker marshmallow butter egg,American,35
Chicken Salad,chicken mayo celery onion lemon,American,15
Southern Fried Okra,okra cornmeal egg butter salt,American,20
Bread Pudding,bread egg milk cream sugar vanilla,American,50
Hash Browns,potato onion butter egg salt,American,20
Açaí Bowl,açaí banana granola honey berry,American,10
Avocado Toast,avocado bread lemon garlic salt pepper,American,10
Shakshuka Feta,egg tomato onion feta garlic cumin,American,20
Turkey Sandwich,turkey bread mayo lettuce tomato avocado,American,10
Veggie Burger,bean onion pepper garlic egg breadcrumb,American,25
Lobster Bisque Cream,lobster cream potato onion wine celery,American,40
Chicken Wrap,chicken tortilla lettuce tomato avocado mayo,American,15
Mango Salsa,mango onion cilantro lime chili tomato,American,10
Borscht,beet potato carrot onion tomato cream,American,45
Shakshuka Green,egg spinach onion garlic pepper cumin,American,20
Grilled Salmon,salmon lemon garlic butter dill,American,20
Lobster Roll Warm,lobster butter celery lemon roll,American,20
Fried Shrimp,shrimp flour egg cornmeal garlic lemon,American,20
Catfish Stew,catfish tomato onion pepper celery,American,35
Oyster Stew,oyster cream butter onion celery,American,25
Chicken Fried Steak,beef egg flour milk gravy onion,American,30
Pimento Cheese Spread,cheese pimento mayo onion pepper,American,10
Buttermilk Biscuit,flour butter buttermilk salt baking-powder,American,25
Chicken and Waffles,chicken waffle maple-syrup egg butter,American,35
Watermelon Salad,watermelon feta mint lime cucumber,American,10
Beef Tacos American,beef tortilla cheese tomato onion,American,20
Pulled Chicken,chicken bbq-sauce onion garlic vinegar,American,60
Egg Salad,egg mayo mustard onion celery,American,15
